epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1210.6,0.99159,2.17942,1.19269,0.69855,0.52082,0.51903,0.40425,0.87611,1.53241,1.15028,0.000276965,0.000276965,0.000276965
2,2406.93,0.89658,1.34429,1.14107,0.735,0.54694,0.56528,0.44887,0.83196,1.27345,1.09792,0.00054365,0.00054365,0.00054365
3,3617.2,0.87754,1.23329,1.13272,0.63827,0.58029,0.58153,0.46443,0.82275,1.21635,1.10124,0.00079934,0.00079934,0.00079934
4,4818.73,0.83452,1.09362,1.10508,0.77607,0.58012,0.59252,0.48032,0.79339,1.11591,1.09015,0.00078352,0.00078352,0.00078352
5,6021.67,0.82275,1.04223,1.10083,0.65111,0.59148,0.60174,0.4923,0.79314,1.04694,1.07916,0.000767026,0.000767026,0.000767026
6,7233.13,0.79959,1.00012,1.09006,0.70203,0.59525,0.60845,0.49784,0.76373,1.02774,1.06963,0.000750533,0.000750533,0.000750533
7,8433.56,0.7935,0.97069,1.08483,0.68542,0.59538,0.61106,0.50313,0.77216,0.95829,1.07572,0.00073404,0.00073404,0.00073404
8,9636.93,0.78529,0.95809,1.08233,0.70081,0.59095,0.61144,0.50309,0.75151,0.93834,1.06442,0.000717546,0.000717546,0.000717546
9,10839.9,0.76899,0.91047,1.06917,0.68714,0.61616,0.6227,0.51531,0.74101,0.8979,1.05285,0.000701053,0.000701053,0.000701053
10,12038.6,0.7589,0.89354,1.06677,0.8158,0.59612,0.62413,0.51889,0.72642,0.89449,1.05746,0.000684559,0.000684559,0.000684559
11,13246.2,0.7475,0.86388,1.05824,0.69307,0.62273,0.62998,0.52406,0.7216,0.87724,1.03878,0.000668066,0.000668066,0.000668066
12,14445.7,0.73823,0.83939,1.05237,0.71469,0.61354,0.63551,0.53066,0.69603,0.82781,1.02927,0.000651573,0.000651573,0.000651573
